return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount
ret-000001,2,609,2012-07-25,late_delivery,6,52458.01
ret-000002,32,1862,2012-07-16,wrong_size,2,5141.37
ret-000003,35,2359,2012-07-16,wrong_size,1,5315.95
ret-000004,47,1449,2012-07-11,wrong_size,4,6493.75
ret-000005,47,1450,2012-07-25,wrong_size,1,1740.76
ret-000006,59,671,2012-07-19,defective,1,10086.33
ret-000007,67,604,2012-07-16,wrong_size,1,5713.22
ret-000008,102,467,2012-07-17,defective,1,9724.09
ret-000010,108,635,2012-07-30,wrong_size,5,43387.54
ret-000012,132,103,2012-07-29,changed_mind,2,19200.35
ret-000013,135,1668,2012-07-12,not_as_described,1,4834.0
ret-000014,144,396,2012-07-18,changed_mind,2,21480.07
ret-000015,146,2064,2012-07-29,changed_mind,8,45752.21
ret-000016,147,1156,2012-07-15,changed_mind,1,3585.13
ret-000018,192,1086,2012-07-14,wrong_size,1,977.65
ret-000019,211,1228,2012-07-28,wrong_size,2,2963.07
ret-000020,305,2250,2012-07-27,defective,1,1461.39
ret-000021,305,2251,2012-07-20,wrong_size,1,1511.59
ret-000022,336,396,2012-07-14,late_delivery,5,51989.35
ret-000024,373,647,2012-07-31,defective,1,10993.16
ret-000025,405,1085,2012-07-27,changed_mind,1,1030.19
ret-000026,405,1086,2012-07-24,changed_mind,1,996.14
ret-000027,409,635,2012-07-28,defective,1,9498.84
ret-000028,412,676,2012-08-04,wrong_size,2,18304.91
ret-000029,423,495,2012-07-24,defective,5,42109.26
ret-000030,430,475,2012-07-21,changed_mind,4,50712.69
ret-000032,530,1926,2012-07-17,not_as_described,3,3128.82
ret-000033,530,1927,2012-07-31,defective,1,989.52
ret-000034,533,1003,2012-07-19,changed_mind,3,2984.49
ret-000035,535,757,2012-07-18,changed_mind,2,1722.68
ret-000036,573,604,2012-07-27,defective,2,12072.58
ret-000037,574,1001,2012-08-04,defective,5,23287.95
ret-000038,584,396,2012-07-25,wrong_size,5,47746.91
ret-000039,587,94,2012-07-22,not_as_described,8,78524.23
ret-000040,610,604,2012-07-27,defective,1,5473.26
ret-000043,637,739,2012-07-25,changed_mind,1,1753.14
ret-000044,665,676,2012-07-22,changed_mind,5,42988.3
ret-000047,703,785,2012-07-26,wrong_size,2,1313.76
ret-000048,703,786,2012-08-05,wrong_size,6,3896.87
ret-000049,705,413,2012-07-22,defective,4,52503.65
ret-000050,720,396,2012-07-15,not_as_described,1,9949.49
ret-000052,751,725,2012-07-19,not_as_described,2,2735.52
ret-000053,751,726,2012-07-22,not_as_described,4,5243.86
ret-000054,783,1014,2012-07-26,not_as_described,2,1783.07
ret-000055,790,1201,2012-07-29,wrong_size,8,50934.33
ret-000056,815,2240,2012-07-24,wrong_size,1,1035.69
ret-000057,815,2241,2012-08-04,wrong_size,2,2126.95
ret-000059,839,1490,2012-07-19,wrong_size,1,3063.89
ret-000060,841,1451,2012-07-19,wrong_size,4,16827.48
ret-000061,841,1452,2012-07-26,wrong_size,3,13759.34
ret-000062,879,992,2012-07-29,wrong_size,1,3013.98
ret-000066,953,2064,2012-07-31,changed_mind,1,6477.59
ret-000067,982,1047,2012-07-25,defective,2,5172.68
ret-000068,1019,2253,2012-07-25,changed_mind,1,1525.9
ret-000070,1039,1916,2012-08-04,changed_mind,2,6379.13
ret-000071,1049,1120,2012-07-25,not_as_described,6,13525.45
ret-000072,1064,647,2012-07-23,defective,4,37090.45
ret-000073,1070,2269,2012-07-28,defective,3,10394.13
ret-000074,1110,2332,2012-08-06,wrong_size,6,33066.93
ret-000076,1155,2234,2012-07-28,changed_mind,5,3996.66
ret-000078,1169,2204,2012-07-29,defective,1,1657.8
ret-000079,1239,2407,2012-07-23,wrong_size,2,1804.34
ret-000082,1294,2388,2012-07-28,not_as_described,1,3588.15
ret-000083,1323,573,2012-07-27,defective,8,29572.42
ret-000084,1338,484,2012-07-21,changed_mind,2,28510.69
ret-000085,1358,2234,2012-07-26,defective,5,3623.06
ret-000086,1358,2235,2012-07-29,wrong_size,3,2321.11
ret-000087,1368,1426,2012-08-07,defective,1,3597.4
ret-000088,1376,565,2012-07-17,defective,1,10091.16
ret-000090,1395,622,2012-07-29,defective,3,28117.7
ret-000091,1434,559,2012-07-24,changed_mind,5,33389.26
ret-000092,1447,606,2012-07-24,wrong_size,1,3769.33
ret-000093,1476,2054,2012-07-21,changed_mind,7,47099.43
ret-000095,1499,596,2012-07-26,defective,1,8450.74
ret-000096,1513,1227,2012-08-02,wrong_size,2,7072.27
ret-000097,1519,2379,2012-07-21,wrong_size,6,13192.91
ret-000098,1524,976,2012-08-09,not_as_described,1,3498.2
ret-000099,1536,895,2012-07-22,wrong_size,2,12197.78
ret-000102,1565,976,2012-07-29,defective,1,3556.47
ret-000103,1600,1974,2012-07-31,wrong_size,2,1339.38
ret-000104,1608,2396,2012-07-28,not_as_described,5,5051.09
ret-000105,1623,604,2012-07-30,defective,3,17521.98
ret-000106,1642,1360,2012-08-10,wrong_size,1,4607.58
ret-000107,1669,785,2012-08-05,late_delivery,2,1296.72
ret-000108,1674,758,2012-07-31,wrong_size,1,866.92
ret-000109,1686,622,2012-07-25,late_delivery,2,18018.15
ret-000112,1740,785,2012-08-13,not_as_described,2,1287.11
ret-000113,1740,786,2012-08-09,changed_mind,2,1301.2
ret-000114,1789,1139,2012-08-06,defective,2,15133.06
ret-000115,1803,671,2012-07-23,wrong_size,1,10007.74
ret-000116,1818,826,2012-07-31,wrong_size,5,53670.76
ret-000117,1841,2400,2012-08-03,not_as_described,1,956.03
ret-000118,1850,2331,2012-08-09,late_delivery,5,35354.54
ret-000122,1911,467,2012-07-26,wrong_size,1,11013.95
ret-000124,2057,1230,2012-07-22,changed_mind,1,5013.12
ret-000125,2074,2255,2012-07-27,defective,1,674.79
ret-000126,2075,2254,2012-07-30,wrong_size,1,632.62
ret-000129,2133,550,2012-08-04,late_delivery,3,13449.34
ret-000130,2138,484,2012-07-23,not_as_described,1,14880.18
